#systematic_name	standard_name	synonyms
PA0006	yaeD	PA14_00070
PA0193		PA14_02420
PA0194		PA14_02435
PA0195	pntAA	PA14_02450
PA0195.1	pntAB	PA14_02460
PA0196	pntB	PA14_02470
PA0197	tonB2	PA14_02490
PA0198	exbB1	PA14_02500
PA0199	exbD1	PA14_02510
PA0200		PA14_02520
PA0201		PA14_02530
PA0202		
PA0203		
PA0204		
PA0205		
PA0206		
PA0207		
PA0208	mdcA	PA14_02550
PA0210	mdcC	PA14_02570
PA0211	mdcD	PA14_02580
PA0212	mdcE	PA14_02590
PA0218		PA14_02660
PA0219		PA14_02680
PA0220		PA14_02690
PA0221		PA14_02700
PA0222		PA14_02720
PA0223		PA14_02730
PA0224		PA14_02740
PA0225		PA14_02750
PA0226		PA14_02760
PA0228	pcaF	PA14_02790
PA0229	pcaT	PA14_02810 kgtP
PA0230	pcaB	PA14_02830
PA0231	pcaD	PA14_02840
PA0232	pcaC	PA14_02850
PA0233		PA14_02870
PA0234		PA14_02890
PA0235	pcaK	PA14_02900
PA0236		PA14_02910
PA0237		PA14_02930
PA0238		PA14_02960
PA0239		PA14_02970
PA0241		PA14_02990
PA0242		PA14_03000
PA0243		PA14_03010
PA0244		PA14_03020
PA0245	aroQ2	PA14_03030 aroD2
PA0246		PA14_03040
PA0247	pobA	PA14_03050
PA0249		PA14_03080
PA0250		PA14_03090
PA0251		PA14_03100
PA0252		PA14_03110
PA0253	hudR	PA14_03120
PA0254	hudA	PA14_03130 ubiD
PA0255		PA14_03150
PA0256		PA14_03160
PA0257		
PA0258		
PA0259	tla3	PA14_03190 tli3
PA0260	tle3	PA14_03200
PA0261	tli3	PA14_03210
PA0262	vgrG2b	PA14_03220
PA0263	hcpC	PA14_03240 PA14_43070 PA14_44890 PA14_69560
PA0263.1		
PA0264		PA14_03420
PA0265	davD	PA14_03430 gabD
PA0266	davT	PA14_03450 gabT
PA0267		PA14_03470
PA0268		PA14_03480
PA0269		PA14_03490
PA0270		PA14_03510
PA0271		PA14_03520
PA0272		PA14_03530
PA0273		PA14_03550
PA0274		PA14_03560
PA0275		PA14_03580
PA0276		PA14_03590
PA0277		PA14_03610
PA0278		PA14_03620
PA0280	cysA	PA14_03650
PA0281	cysW	PA14_03670
PA0282	cysT	PA14_03680
PA0283	sbp	PA14_03700
PA0284		PA14_03710
PA0285		PA14_03720
PA0286	desA	PA14_03730
PA0287	gpuP	PA14_03760 speB1
PA0288	gpuA	PA14_03770
PA0289	gpuR	PA14_03780
PA0290		PA14_03790
PA0291	oprE	PA14_03800
PA0292	aguA	PA14_03810
PA0293	aguB	PA14_03830
PA0294	aguR	PA14_03840
PA0295		PA14_03855
PA0296	spuI	PA14_03860
PA0296.1	P1	
PA0297	spuA	PA14_03870 ycjL
PA0298	spuB	PA14_03880
PA0299	spuC	PA14_03900
PA0300	spuD	PA14_03920 potF2
PA0301	spuE	PA14_03930 potF3
PA0302	spuF	PA14_03940 potG
PA0303	spuG	PA14_03950 potH
PA0304	spuH	PA14_03960 potI
PA0305	hacB	PA14_03980
PA0306		PA14_04000
PA0306.1		
PA0307		PA14_04020
PA0308		PA14_04030
PA0309		PA14_04040
PA0310		PA14_04050
PA0311		PA14_04060
PA0312		PA14_04070
PA0315		PA14_04100
PA0316	serA	PA14_04110
PA0319		PA14_04160
PA0320	carO	PA14_04180 ygiW
PA0321		PA14_04190
PA0322		PA14_04210
PA0323		PA14_04220
PA0324		PA14_04230
PA0325		PA14_04240
PA0326		PA14_04250
PA0327	carP	PA14_04270
PA0328	aaaA	PA14_04290
PA0329		PA14_04300
PA0330	rpiA	PA14_04310
PA0331	ilvA1	PA14_04320
PA0332		PA14_04330
PA0333		PA14_04340
PA0334		PA14_04370
PA0335		PA14_04380
PA0336	rppH	PA14_04390 ygdP ygdP
PA0337	ptsP	PA14_04410
PA0338		PA14_04420
PA0339		PA14_04430
PA0340		PA14_04440
PA0341	lgt	PA14_04460 umpA
PA0342	thyA	PA14_04480
PA0343		PA14_04490
PA0344		PA14_04510
PA0345		PA14_04520
PA0346		PA14_04530
PA0347	glpQ	PA14_04550
PA0348		PA14_04560
PA0349		PA14_04570
PA0350	folA	PA14_04580 tmrA
PA0351		PA14_04590
PA0353	ilvD	PA14_04630
PA0354		PA14_04640
PA0355	pfpI	PA14_04650
PA0356		PA14_04660
PA0357	mutM	PA14_04670 fpg mutY
PA0358		PA14_04680
PA0359		PA14_04690
PA0360		PA14_04700
PA0361		PA14_04730
PA0362	fdx1	PA14_04750
PA0363	coaD	PA14_04760 kdtB
PA0364	laoA	PA14_04780
PA0365	laoB	PA14_04790
PA0366	laoC	PA14_04810
PA0367	laoR	PA14_04820
PA0368		PA14_04840
PA0369		PA14_04850
PA0371		PA14_04870
PA0372		PA14_04890
PA0373	ftsY	PA14_04900
PA0374	ftsE	PA14_04910
PA0375	ftsX	PA14_04920
PA0376	rpoH	PA14_04930
PA0377		PA14_04940
PA0380		PA14_04970
PA0381	thiG	PA14_04980
PA0382	micA	PA14_05000 yggH
PA0383		PA14_05010
PA0384		PA14_05020
PA0385		PA14_05030
PA0388		PA14_05060
PA0389		PA14_05070
PA0390	metX	PA14_05080 met2
PA0391		PA14_05110
PA0393	proC	PA14_05150
PA0395	pilT	PA14_05180
PA0396	pilU	PA14_05190
PA0398		PA14_05210
PA0399		PA14_05220
PA0402	pyrB	PA14_05260
PA0403	pyrR	PA14_05270
PA0405	algH	PA14_05290 yqgE
PA0406	tonB3	PA14_05300
PA0407	gshB	PA14_05310
PA0408	pilG	PA14_05320
PA0409	pilH	PA14_05330
PA0410	pilI	PA14_05340
PA0411	pilJ	PA14_05360
PA0412	pilK	PA14_05380
PA0413	chpA	PA14_05390 pilL
PA0414	chpB	PA14_05400
PA0415	chpC	PA14_05410
PA0416	chpD	PA14_05420
PA0417	chpE	PA14_05430
PA0418		PA14_05440
PA0420	bioA	PA14_05460
PA0421		PA14_05480
PA0422		PA14_05500
PA0423	pasP	PA14_05510 yceI
PA0423.1	AS1974	
PA0424	mexR	PA14_05520
PA0423.2	AS1974-shorter1	
PA0425	mexA	PA14_05530
PA0426	mexB	PA14_05540
PA0427	oprM	PA14_05550
PA0429		PA14_05580
PA0430	metF	PA14_05590
PA0431		PA14_05600
PA0432	sahH	PA14_05620 ahcY
PA0433		PA14_05630
PA0434		PA14_05640
PA0435		PA14_05650
PA0436		PA14_05660
PA0437	codA	PA14_05690
PA0438	codB	PA14_05700
PA0441	dht	PA14_05770 hyuA
PA0442		PA14_05775
PA0443		PA14_05790
PA0445		
PA0446		PA14_05820
PA0447	gcdH	PA14_05840
PA0448	gcdR	PA14_05850
PA0449		PA14_05860
PA0450		PA14_05870
PA0451		PA14_05880
PA0453		
PA0455	dbpA	PA14_05950
PA0456		PA14_05960
PA0457		PA14_05970
PA0457.1		
PA0460		PA14_06010
PA0462		PA14_06040
PA0463	creB	PA14_06060
PA0464	creC	PA14_06070 phoM
PA0465	creD	PA14_06080 cet
PA0466		PA14_06090
PA0467		PA14_06120
PA0468		PA14_06130
PA0469		PA14_06150
PA0470	fiuA	PA14_06160
PA0471	fiuR	PA14_06170
PA0472	fiuI	PA14_06180
PA0474		PA14_06200
PA0475		PA14_06210
PA0476		PA14_06230
PA0477		PA14_06240
PA0478		PA14_06250
PA0479		PA14_06260
PA0480		PA14_06270
PA0481		PA14_06280
PA0482	glcB	PA14_06290 aceB
PA0483		PA14_06300
PA0484		PA14_06310
PA0489		PA14_06360
PA0490		PA14_06390
PA0491		PA14_06400
PA0493		PA14_06430
PA0494		PA14_06450
PA0495		PA14_06460
PA0497		
PA0498		
PA0499		
PA0500	bioB	PA14_06500
PA0501	bioF	PA14_06510
PA0504	bioD	PA14_06570
PA0505		PA14_06580
PA0506		PA14_06600
PA0507		PA14_06620
PA0508		PA14_06640
PA0509	nirN	PA14_06650
PA0510	nirE	PA14_06660
PA0511	nirJ	PA14_06670
PA0512	nirH	PA14_06680
PA0513	nirG	PA14_06690
PA0514	nirL	PA14_06700
PA0516	nirF	PA14_06720
PA0517	nirC	PA14_06730
PA0518	nirM	PA14_06740
PA0519	nirS	PA14_06750
PA0520	nirQ	PA14_06770
PA0523	norC	PA14_06810
PA0524	norB	PA14_06830
PA0526		PA14_06860
PA0527	dnr	PA14_06870
PA0527.1	rsmY	
PA0528		PA14_06880
PA0529		PA14_06890
PA0530		PA14_06920
PA0531		PA14_06930
PA0532		PA14_06940
PA0533		PA14_06950
PA0534	pauB1	PA14_06960
PA0535		PA14_06970
PA0536		PA14_06980
PA0537		PA14_06990
PA0538	dsbB	PA14_07000
PA0539		PA14_07010
PA0540		PA14_07020
PA0541		PA14_07030
PA0543		PA14_07050
PA0544		PA14_07060
PA0545		PA14_07070
PA0546	metK	PA14_07090
PA0547		PA14_07110
PA0548	tktA	PA14_07130
PA0549		PA14_07140
PA0551	epd	PA14_07170 gapB
PA0552	pgk	PA14_07190
PA0553		PA14_07200
PA0554		PA14_07210
PA0555	fda	PA14_07230 cbbA cfxB fbaA
PA0556		PA14_07240
PA0557		PA14_07250
PA0558		PA14_07260
PA0561		PA14_07300
PA0562		PA14_07310
PA0563		PA14_07330
PA0564		PA14_07340
PA0565		PA14_07355
PA0566		PA14_07360
PA0568		PA14_07380
PA0569		PA14_07400
PA0570		PA14_07410
PA0571		PA14_07420
PA0572		PA14_07430
PA0573		PA14_07440
PA0574		PA14_07450
PA0574.1		
PA0575	rmcA	PA14_07500
PA0576	rpoD	PA14_07520 rpoDA
PA0577	dnaG	PA14_07530
PA0578		PA14_07550
PA0579	rpsU	PA14_07560
PA0580	gcp	PA14_07570 ygjD
PA0582	folB	PA14_07590
PA0583		PA14_07600
PA0584	cca	PA14_07620
PA0585		PA14_07630
PA0590	apaH	PA14_07700
PA0592	ksgA	PA14_07730
PA0593	pdxA	PA14_07740
PA0594	surA	PA14_07760
PA0595	lptD	PA14_07770 imp ostA
PA0596		PA14_07780
PA0597		PA14_07790
PA0598		PA14_07800
PA0599		PA14_07810
PA0600	agtS	PA14_07820
PA0601	agtR	PA14_07840
PA0602		PA14_07850
PA0603	agtA	PA14_07860
PA0604	agtB	PA14_07870
PA0605	agtC	PA14_07890
PA0606	agtD	PA14_07900
PA0607	rpe	PA14_07910 dod
PA0609	trpE	PA14_07940
PA0610	prtN	PA14_07950
PA0611	prtR	PA14_07960
PA0612	ptrB	PA14_07970
PA0613		PA14_07980
PA0614		PA14_07990
PA0615		PA14_08000
PA0616		PA14_08010
PA0617		PA14_08020
PA0618		PA14_08030
PA0619		PA14_08040
PA0620		PA14_08050
PA0621		PA14_08060
PA0622		PA14_08070
PA0623		PA14_08090
PA0624		PA14_08100
PA0625		PA14_08120
PA0626		PA14_08130
PA0627		PA14_08140
PA0628		PA14_08150
PA0629		PA14_08160
PA0630		PA14_08180
PA0631		PA14_08190
PA0632		PA14_08200
PA0633		PA14_08210
PA0634		PA14_08220
PA0635		PA14_08230
PA0636		PA14_08240
PA0637		PA14_08250
PA0638		PA14_08260
PA0639		PA14_08270
PA0640		PA14_08280
PA0641		PA14_08300
PA0642		
PA0643		
PA0644		
PA0645		
PA0646		PA14_08310
PA0647		PA14_08320
PA0648		PA14_08330
PA0649	trpG	PA14_08340 pabA
PA0650	trpD	PA14_08350
PA0651	trpC	PA14_08360
PA0652	vfr	PA14_08370
PA0654	speD	PA14_08390
PA0655		PA14_08400
PA0657		PA14_08430
PA0658		PA14_08440
PA0659		PA14_08450
PA0660		PA14_08460
PA0661		PA14_08470
PA0662	argC	PA14_08480
PA0663		PA14_08490
PA0664		PA14_08500
PA0666		PA14_08520
PA0668	tyrZ	PA14_08560 tyrS
PA0668.1		
PA0668.2		
PA0668.3		
PA0668.4		
PA0668.5		
PA0669		PA14_55610
PA0670		PA14_55600
PA0671		PA14_55590
PA0672	hemO	PA14_55580 pigA
PA0674	vreA	PA14_55560 pigC
PA0675	vreI	PA14_55550
PA0676	vreR	PA14_55540
PA0677	hxcW	PA14_55530
PA0678	hxcU	PA14_55520
PA0679	hxcP	PA14_55510
PA0680	hxcV	PA14_55500
PA0681	hxcT	PA14_55490
PA0682	hxcX	PA14_55480
PA0683	hxcY	PA14_55470
PA0684	hxcZ	PA14_55460
PA0685	hxcQ	PA14_55450
PA0686	hxcR	PA14_55440
PA0687	hxcS	PA14_55430
PA0688	lapA	PA14_55410
PA0689	lapB	
PA0690	pdtA	PA14_55400
PA0691	phdA	PA14_55390
PA0692	pdtB	PA14_55380
PA0693	exbB2	PA14_55360
PA0694	exbD2	PA14_55340
PA0695		PA14_55330
PA0696		PA14_55320
PA0697		PA14_55300
PA0698		PA14_55290
PA0699		PA14_55280
PA0700		PA14_55260
PA0701		PA14_55250
PA0702		PA14_55230
PA0703		PA14_55220
PA0704		PA14_55200
PA0705	migA	PA14_55180
PA0706	cat	PA14_55170
PA0707	toxR	PA14_55160 regA
PA0708		PA14_55150
PA0708.1		
PA0709		PA14_55140
PA0710	gloA2	PA14_55130
PA0711		PA14_55117
PA0712		
PA0713		PA14_55110
PA0714		PA14_55100
PA0714.1	phrD	
PA0715		
PA0716		
PA0716.1	pf4r	
PA0716.2	xisF4	
PA0717		PA14_49000
PA0718		PA14_48990
PA0719		PA14_48980
PA0720		PA14_48970
PA0721		PA14_48960
PA0722		PA14_48950
PA0723	coaB	PA14_48940
PA0725		PA14_48920
PA0726		PA14_48910
PA0727		PA14_48890
PA0729		
PA0729.1		
PA0730		PA14_54830
PA0731		PA14_54820
PA0732		PA14_54810
PA0734		PA14_54790
PA0735		PA14_54770
PA0736		PA14_54760
PA0737		PA14_54740
PA0738		PA14_54730
PA0739		PA14_54710
PA0740	sdsA1	PA14_54700 yjcS
PA0742		PA14_54680
PA0743		PA14_54670
PA0744		PA14_54660
PA0746		PA14_54630
PA0747		PA14_54620
PA0749		PA14_54600
PA0750	ung	PA14_54590
PA0751		PA14_54580
PA0752		PA14_54570
PA0753		PA14_54550
PA0754		PA14_54540
PA0755	opdH	PA14_54520
PA0756		PA14_54510
PA0757		PA14_54500
PA0758		PA14_54490
PA0759		PA14_54480
PA0760		PA14_54470
PA0761	nadB	PA14_54450
PA0762	algU	PA14_54430 algT
PA0763	mucA	PA14_54420
PA0764	mucB	PA14_54410 algN
PA0765	mucC	PA14_54400
PA0766	mucD	PA14_54390
PA0767	lepA	PA14_54370
PA0769		PA14_54340
PA0770	rnc	PA14_54330
PA0771	era	PA14_54320
PA0772	recO	PA14_54300
PA0773	pdxJ	PA14_54290
PA0776		PA14_54240
PA0777		PA14_54230
PA0778	icp	PA14_54220
PA0779	asrA	PA14_54210
PA0780	pruR	PA14_54190
PA0781		PA14_54180
PA0782	putA	PA14_54170 pruA pruB
PA0783	putP	PA14_54150
PA0784		PA14_54130
PA0785	azoR1	PA14_54120 azoR
PA0786		PA14_54110
PA0787		PA14_54090
PA0788		PA14_54080
PA0789		PA14_54040
PA0790		PA14_54030
PA0791		PA14_54010
PA0792	prpD	PA14_54000
PA0793		PA14_53980
PA0794		PA14_53970
PA0795	prpC	PA14_53950
PA0796	prpB	PA14_53940 bcpA
PA0797		PA14_53920
PA0798	pmtA	PA14_53910
PA0799		PA14_53900
PA0800		PA14_53890
PA0801		PA14_53880
PA0802		PA14_53870
PA0803		PA14_53860
PA0804		PA14_53850
PA0805		PA14_53840
PA0806		PA14_53830
PA0807	ampDh3	PA14_53820
PA0808		PA14_53810
PA0809		PA14_53800
PA0810		PA14_53790
PA0811		PA14_53780
PA0812		PA14_53770
PA0813		PA14_53750
PA0814		PA14_53740
PA0815		PA14_53730
PA0816		PA14_53720
PA0817		PA14_53700
PA0818		PA14_53690
PA0819		
PA0820		PA14_53670
PA0821		PA14_53660
PA0822		PA14_53650
PA0823		
PA0824		PA14_53640
PA0825		PA14_53630
PA0826		PA14_53620
PA0826.2	ssrA	
PA0826.1		
PA0827		PA14_53560
PA0828		PA14_53550
PA0829		PA14_53540
PA0830		PA14_53530
PA0831	oruR	PA14_53520
PA0833		PA14_53500
PA0834		PA14_53490
PA0835	pta	PA14_53480
PA0836	ackA	PA14_53470 tdcD
PA0836.1	P5	
PA0837	slyD	PA14_53430
PA0839		PA14_53410
PA0840		PA14_53400
PA0841		PA14_53390
PA0842		PA14_53380
PA0843	plcR	PA14_53370
PA0844	plcH	PA14_53360 phlC plcS
PA0845	cerN	PA14_53340
PA0847		PA14_53310
PA0848	ahpB	PA14_53300
PA0849	trxB2	PA14_53290
PA0850		PA14_53270
PA0851		PA14_53260
PA0852	cbpD	PA14_53250
PA0852.1		
PA0853		PA14_53230
PA0854	fumC2	PA14_53220
PA0855		PA14_53210
PA0856		PA14_53200
PA0857	bolA	PA14_53190
PA0858		PA14_53180
PA0859		PA14_53160
PA0860		PA14_53150
PA0861	rbdA	PA14_53140
PA0862		PA14_53120
PA0863		PA14_53110
PA0864		PA14_53090
PA0865	hpd	PA14_53070
PA0866	aroP2	PA14_53050
PA0867	mliC	PA14_53040
PA0869	pbpG	PA14_53020
PA0870	phhC	PA14_53010 aspC tyrB
PA0871	phhB	PA14_53000
PA0872	phhA	PA14_52990
PA0873	phhR	PA14_52980 tyrR
PA0874		PA14_52960
PA0875		PA14_52940
PA0876		PA14_52930
PA0877		PA14_52920
PA0878		PA14_52910
PA0879		PA14_52900
PA0880		PA14_52890
PA0881		PA14_52880
PA0882		PA14_52870
PA0883		PA14_52850
PA0887	acsA	PA14_52800
PA0887.1	P7	
PA0888	aotJ	PA14_52790
PA0889	aotQ	PA14_52780
PA0890	aotM	PA14_52770
PA0892	aotP	PA14_52750
PA0893	argR	PA14_52740
PA0894		PA14_52730
PA0895	aruC	PA14_52720 argD astC dapC
PA0896	aruF	PA14_52700 aruAI
PA0897	aruG	PA14_52690 aruAII
PA0898	aruD	PA14_52670 astD
PA0899	aruB	PA14_52660
PA0900		PA14_52640
PA0901	aruE	PA14_52630 astE
PA0902		PA14_52610
PA0903	alaS	PA14_52600 sya
PA0904	lysC	PA14_52580 akaB ask
PA0905	rsmA	PA14_52570 csrA
PA0905.1		
PA0905.2		
PA0905.3		
PA0906	alpR	PA14_52530
PA0907	alpA	PA14_52520
PA0908	alpB	PA14_52510
PA0909	alpC	PA14_52500
PA0910	alpD	PA14_52490
PA0911	alpE	PA14_52480
PA0912		PA14_52465
PA0913	mgtE	PA14_52460
PA0914		PA14_52440
PA0917	kup	PA14_52400
PA0918		PA14_52380
PA0919		PA14_52370
PA0920		PA14_52350
PA0921		PA14_52340
PA0922		PA14_52330
PA0922.1		
PA0923	dinB	PA14_52310 dinP
PA0924		PA14_52300
PA0925		PA14_52290
PA0926		PA14_52280
PA0927	ldhA	PA14_52270 ldhD
PA0928	gacS	PA14_52260 lemA
PA0931	pirA	PA14_52230
PA0932	cysM	PA14_52210
PA0933	ygcA	PA14_52190
PA0934	relA	PA14_52180
PA0936	lpxO2	PA14_52150
PA0938	wzz2	PA14_52130
PA0939		PA14_52110
PA0940		PA14_52090
PA0941		PA14_52080
PA0942		PA14_52070
PA0943		PA14_52060
PA0944	purN	PA14_52050
PA0945	purM	PA14_52040
PA0946		PA14_52020
PA0947		PA14_52010
PA0948		PA14_52000
PA0949	wrbA	PA14_51990
PA0950		PA14_51980
PA0952		PA14_51940
PA0954		PA14_51920
PA0955		PA14_51910
PA0956	proS	PA14_51900
PA0957		PA14_51890
PA0958	oprD	PA14_51880
PA0959		PA14_51860
PA0960		PA14_51850
PA0961		PA14_51840
PA0962	dps	PA14_51830
PA0963	aspS	PA14_51820 syd
PA0964	pmpR	PA14_51810 yebC
PA0965	ruvC	PA14_51800
PA0966	ruvA	PA14_51790
PA0967	ruvB	PA14_51780
PA0969	tolQ	PA14_51750
PA0970	tolR	PA14_51740
PA0971	tolA	PA14_51730
PA0972	tolB	PA14_51720
PA0973	oprL	PA14_51710 excC pal
PA0974		PA14_51690
PA0975		PA14_51680
PA0976		PA14_51670
PA0976.1		
PA0977		
PA0978		PA14_51630
PA0979		PA14_51620
PA0980		PA14_51610
PA0981		PA14_51600
PA0982		PA14_59960
PA0983		
PA0984		PA14_59230
PA0985	pyoS5	PA14_59220
PA0986		PA14_03180
PA0987		PA14_03170
PA0988		PA14_51510
PA0989		PA14_51500
PA0990		PA14_51490
PA0991	hptA	PA14_51480
PA0992	cupC1	PA14_51470
PA0993	cupC2	PA14_51460
PA0994	cupC3	PA14_51450
PA0995	ogt	PA14_51440
PA0996	pqsA	PA14_51430
PA0997	pqsB	PA14_51420
PA0998	pqsC	PA14_51410
PA0999	pqsD	PA14_51390 fabH1
PA1000	pqsE	PA14_51380
PA1001	phnA	PA14_51360
PA1002	phnB	PA14_51350
PA1003	mvfR	PA14_51340 pqsR
PA1004	nadA	PA14_51330
PA1005		PA14_51320
PA1008	bcp	PA14_51290
PA1009		PA14_51280
PA1010	dapA	PA14_51270
PA1011		PA14_51260
PA1013	purC	PA14_51240
PA1013.1		
PA1014	wapB	PA14_51220
PA1015		PA14_51205
PA1016		PA14_51190
PA1017	pauA	PA14_51170
PA1018		PA14_51160
PA1019	mucK	PA14_51150
PA1020		PA14_51120
PA1021		PA14_51110
PA1022		PA14_51100
PA1023		PA14_51090
PA1024		PA14_51080
PA1026		PA14_51060
PA1027	amaB	PA14_51050 pcd
PA1028	amaA	PA14_51040 amaB
PA1029		PA14_51020
PA1030		PA14_51010
PA1030.1	P8	
PA1032	quiP	PA14_50980 pac
PA1034		PA14_50950
PA1035		PA14_50940
PA1036		PA14_50930
PA1038		PA14_50910
PA1040		PA14_50890
PA1041		PA14_50880
PA1042		PA14_50870
PA1043		PA14_50860
PA1044		PA14_50850
PA1045		PA14_50840
PA1046		PA14_50830
PA1047		PA14_50820
PA1048		PA14_50810
PA1049	pdxH	PA14_50800
PA1051		PA14_50770
PA1054	shaA	PA14_50730 phaA
PA1055	shaB	PA14_50720 phaC
PA1056	shaC	PA14_50710 phaD
PA1057	shaD	PA14_50700 phaE
PA1058	shaE	PA14_50690 phaF
PA1059	shaF	PA14_50680 phaG
PA1060		PA14_50670
PA1061		PA14_50660
PA1062		PA14_50650
PA1063		PA14_50640
PA1064		PA14_50630
PA1065		PA14_50620
PA1066		PA14_50610
PA1067		PA14_50600
PA1068		PA14_50590
PA1069		PA14_50570
PA1070	braG	PA14_50560
PA1071	braF	PA14_50550
PA1072	braE	PA14_50540
PA1073	braD	PA14_50530
PA1074	braC	PA14_50520
PA1075		PA14_50510
PA1076		PA14_50500
PA1077	flgB	PA14_50480
PA1078	flgC	PA14_50470
PA1079	flgD	PA14_50460
PA1080	flgE	PA14_50450
PA1081	flgF	PA14_50440
PA1082	flgG	PA14_50430
PA1083	flgH	PA14_50420
PA1084	flgI	PA14_50410
PA1085	flgJ	PA14_50380
PA1086	flgK	PA14_50360
PA1087	flgL	PA14_50340 flaK
PA1088		PA14_50330
PA1089		PA14_50320
PA1090		PA14_50310
PA1091	fgtA	PA14_50300
PA1092	fliC	PA14_50290
PA1094	fliD	PA14_50270
PA1096		PA14_50240
PA1097	fleQ	PA14_50220
PA1098	fleS	PA14_50200
PA1099	fleR	PA14_50180
PA1100	fliE	PA14_50160
PA1101	fliF	PA14_50140
PA1102	fliG	PA14_50130
PA1104	fliI	PA14_50100
PA1105	fliJ	PA14_50080
PA1106		PA14_50070
PA1107	roeA	PA14_50060
PA1108		PA14_50050
PA1109		PA14_50040
PA1110		PA14_50030
PA1111		PA14_50020
PA1112.1		
PA1113		PA14_49970
PA1114		PA14_49960
PA1115		PA14_49940
PA1116		PA14_49930
PA1117		PA14_49920
PA1118		PA14_49910
PA1119	yfiB	PA14_49900
PA1120	tpbB	PA14_49890 yfiN
PA1121	yfiR	PA14_49880
PA1123		PA14_49850
PA1124	dgt	PA14_49840
PA1126		PA14_49810
PA1128		PA14_49790
PA1129	fosA	PA14_49780
PA1130	rhlC	PA14_49760
PA1131		PA14_49750
PA1132		PA14_49740
PA1133		PA14_49730
PA1134		PA14_49720
PA1136		PA14_49700
PA1137		PA14_49690
PA1138		PA14_49680
PA1139		PA14_49660
PA1141		PA14_49640
PA1142		PA14_49630
PA1143		PA14_49620
PA1144		PA14_49610
PA1145		PA14_49590
PA1146		PA14_49580
PA1147		PA14_49570
PA1148	toxA	PA14_49560 eta
PA1149		PA14_49530
PA1150	pys2	
PA1151	imm2	
PA1152		
PA1153		PA14_49500
PA1154		
PA1155	nrdB	PA14_49470
PA1156	nrdA	PA14_49460
PA1157		PA14_49440
PA1158		PA14_49420
PA1159		PA14_49410
PA1160		PA14_49400
PA1161	rrmA	PA14_49390
PA1162	dapE	PA14_49380
PA1163	ndvB	PA14_49360
PA1164		PA14_49350
PA1165	pcpS	PA14_49340
PA1166		PA14_49330
PA1167		PA14_49320
PA1168		PA14_49310
PA1169		PA14_49300
PA1170		PA14_49290
PA1172	napC	PA14_49270
PA1173	napB	PA14_49260
PA1174	napA	PA14_49250
PA1175	napD	PA14_49230
PA1176	napF	PA14_49220
PA1177	napE	PA14_49210
PA1178	oprH	PA14_49200
PA1179	phoP	PA14_49180
PA1180	phoQ	PA14_49170
PA1182		PA14_49150
PA1183	dctA	PA14_49130
PA1184		PA14_49110
PA1186		PA14_49090
PA1188		PA14_49070
PA1189		PA14_49060
PA1191		PA14_49040
PA1193		PA14_48860
PA1194		PA14_48850
PA1195	ddaH	PA14_48840
PA1196	ddaR	PA14_48830
PA1197		PA14_48810
PA1198		PA14_48800
PA1199		PA14_48790
PA1200		PA14_48780
PA1201		PA14_48770
PA1203		PA14_48750
PA1205		PA14_48730
PA1206		PA14_48710
PA1207	kefB	PA14_48700 kefC trkB
PA1208		PA14_48680
PA1209		PA14_48660
PA1211		PA14_48640
PA1212		PA14_48630
PA1213		PA14_48620
PA1214		PA14_48610
PA1215		PA14_48600
PA1216		PA14_48590
PA1217		PA14_48570
PA1218		PA14_48560
PA1219		PA14_48550
PA1220		PA14_48540
PA1221		PA14_48530
PA1223		
PA1224		
PA1225		PA14_48440
PA1226		PA14_48420
PA1227		PA14_48410
PA1228		PA14_48400
PA1230		PA14_48380
PA1231		PA14_48350
PA1232		PA14_48340
PA1233		PA14_48330
PA1234		PA14_48320
PA1235		PA14_48310
PA1236		PA14_48300
PA1237		PA14_48280
PA1239		PA14_48210
PA1240		PA14_48200
PA1241		PA14_48190
PA1242	sprP	PA14_48170
PA1243		PA14_48160
PA1244	qslA	PA14_48150
PA1245	aprX	PA14_48140
PA1246	aprD	PA14_48115
PA1247	aprE	PA14_48100
PA1248	aprF	PA14_48090
PA1249	aprA	PA14_48060
PA1250	aprI	PA14_48040
PA1251		PA14_48030
PA1252	dpkA	PA14_48020
PA1253	lhpG	PA14_48010
PA1254	lhpC	PA14_48000
PA1255	lhpK	PA14_47970
PA1256	lhpO	PA14_47960
PA1257	lhpN	PA14_47950
PA1258	lhpM	PA14_47940
PA1259	lhpH	PA14_47930
PA1260	lhpP	PA14_47920
PA1261	lhpR	PA14_47910
PA1262		PA14_47900
PA1263		PA14_47890
PA1264		PA14_47880
PA1265		PA14_47870
PA1266	lhpE	PA14_47860
PA1266.1	lhpF	
PA1267	lhpB	PA14_47850
PA1268	lhpA	PA14_47840
PA1269		PA14_47820
PA1270		PA14_47810
PA1271		PA14_47800
PA1272	cobO	PA14_47790 btuR cobA
PA1273	cobB	PA14_47760 cbiA
PA1275	cobD	PA14_47730 cbiB
PA1276	cobC	PA14_47720 cobD
PA1277	cobQ	PA14_47690 cbiP
PA1278	cobP	PA14_47680 cobU
PA1279	cobU	PA14_47670 cobT
PA1281	cobV	PA14_47650 cobS
PA1282		PA14_47640
PA1283		PA14_47610
PA1284		PA14_47600
PA1285		PA14_47580
PA1286		PA14_47560
PA1287		PA14_47550
PA1289		PA14_47530
PA1290		PA14_47520
PA1291		PA14_47510
PA1292		PA14_47500
PA1293		PA14_47490
